TEMP_stimnum			texte_expe	crackage	num_syll	pronom	adj	adj_pos	type-de-phrase	spk	spk_sex
62			quelle femme superbe Oscar veut embrasser ?		10	quelle	superbe	POST	wh-ex-situ	2	F
71			quel repas délicieux Alexandre a cuisiné ?		13	quel	délicieux	POST	wh-ex-situ	2	F
74			quelle femme époustouflante il va épouser ?		11	quelle	époustouflant	POST	wh-ex-situ	2	F
68			quel curieux jeu le croupier adore ?		9	quel	curieux	PRE	wh-ex-situ	2	F
65			quel joli bureau Martin a construit ?		10	quel	joli	PRE	wh-ex-situ	2	F
63			quel étudiant intelligent a écrit ce devoir ?		14	quel	intelligent	POST	wh-ex-situ	3	F
72			quel objet utile l’artisan a fabriqué ?		12	quel	utile	POST	wh-ex-situ	3	F
75			quelle députée mauvaise a gagné les élections ?		13	quelle	manipulateur	POST	wh-ex-situ	3	F
69			quelle fabuleuse jupe elle a achetée ?		9	quelle	fabuleux	PRE	wh-ex-situ	3	F
66			quel méchant coupable le juge a condamné ?		11	quel	méchant	PRE	wh-ex-situ	3	F
67			quelle boîte adorable l’artiste a fabriquée ?		11	quelle	adorable	POST	wh-ex-situ	Maïté	F
61			quel merveilleux homme est parti ?		8	quel	merveilleux	PRE	wh-ex-situ	Maïté	F
73			quelle haute tour il a escaladé ?		9	quelle	haut	PRE	wh-ex-situ	Maïté	F
70			quel agréable paysage il a peint ?		11	quel	agréable	PRE	wh-ex-situ	Maïté	F
64			quel charmant garçon Caroline a invité ? 		12	quel	charmant	PRE	wh-ex-situ	Maïté	F
84			quelle tarte appétissante elle a cuisinée ?		11	quelle	appétissant	POST	wh-ex-situ	6	M
90			quelle fin étonnante l’auteur a divulguée ?		11	quelle	étonnant	POST	wh-ex-situ	6	M
87			quelle minuscule statuette le sage adore ?		10	quelle	minuscule	PRE	wh-ex-situ	6	M
78			quel ancien cinéma la ville a détruit ?		11	quel	vieux	PRE	wh-ex-situ	6	M
81			quel excellent dessert Paul a apporté ?		12	quel	excellent	PRE	wh-ex-situ	6	M
79			quel livre parfait Marc a terminé ?		10	quel	parfait	POST	wh-ex-situ	Lucas	M
88			quel chaton mignon Charlotte a adopté ?		11	quel	mignon	POST	wh-ex-situ	Lucas	M
82			quelle avocate grandiose a défendu cet accusé ?		14	quelle	grandiose	POST	wh-ex-situ	Lucas	M
76			quel gentil garçon a envoyé cette lettre ?		11	quel	gentil	PRE	wh-ex-situ	Lucas	M
85			quelle violente tempête a détruit la maison ?		11	quelle	violent	PRE	wh-ex-situ	Lucas	M
80			quelle voiture énorme il désire ?		8	quelle	énorme	POST	wh-ex-situ	Simon	M
86			quelle peinture somptueuse ils ont achetée ?		9	quelle	somptueux	POST	wh-ex-situ	Simon	M
89			quelle élève enthousiaste le prof a félicitée ?		13	quelle	enthousiaste	POST	wh-ex-situ	Simon	M
77			quelle grande footballeuse a marqué ce but ?		10	quelle	grand	PRE	wh-ex-situ	Simon	M
83			quel magnifique bal Pauline a organisé ?		12	quel	magnifique	PRE	wh-ex-situ	Simon	M
101			quelle fille gentille l’instituteur a grondée !		11	quelle	gentil	POST	wh-exclamative	2	F
98			quelle église merveilleuse ils ont visitée !		11	quelle	merveilleux	POST	wh-exclamative	2	F
104			quelle sorcière méchante le héros a combattu !		12	quelle	méchant	POST	wh-exclamative	2	F
92			quelle mignonne sculpture Sophie a vendue !		10	quelle	mignon	PRE	wh-exclamative	2	F
95			quelle utile inspiration il m’a donnée !		11	quelle	utile	PRE	wh-exclamative	2	F
99			quelle fin curieuse il a eu !		7	quelle	curieux	POST	wh-exclamative	3	F
105			quelle montagne haute ils ont creusée !		9	quelle	haut	POST	wh-exclamative	3	F
102			quelle maison jolie ils ont trouvée !		9	quelle	joli	POST	wh-exclamative	3	F
96			quelle balade agréable ils ont organisée !		12	quelle	agréable	POST	wh-exclamative	3	F
93			quelle parfaite introduction le doctorant a rédigée !		15	quelle	parfait	PRE	wh-exclamative	3	F
100			quelle nouvelle excellente elle a reçue !		10	quelle	excellent	POST	wh-exclamative	Maïté	F
97			quelle personne fabuleuse il a épousée !		11	quelle	fabuleux	POST	wh-exclamative	Maïté	F
103			quelle salle magnifique la mairie a décorée !		12	quelle	magnifique	POST	wh-exclamative	Maïté	F
94			quelle délicieuse omelette le serveur a apportée !		13	quelle	délicieux	PRE	wh-exclamative	Maïté	F
91			quelle intelligente élève il a récompensée !		13	quelle	intelligent	PRE	wh-exclamative	Maïté	F
117			quel homme grand Sophie a battu !		8	quel	grand	POST	wh-exclamative	6	M
120			quel orage violent a fait peur au chien !		10	quel	violent	POST	wh-exclamative	6	M
108			quel étonnant programme il a prévu !		10	quel	étonnant	PRE	wh-exclamative	6	M
114			quel énorme bâtiment il a construit !		11	quel	énorme	PRE	wh-exclamative	6	M
111			quel somptueux opéra ils ont programmé !		11	quel	somptueux	PRE	wh-exclamative	6	M
118			quel chien minuscule il a caressé !		10	quel	minuscule	POST	wh-exclamative	Lucas	M
115			quel superbe tableau Pierre a peint !		9	quel	superbe	PRE	wh-exclamative	Lucas	M
112			quel garçon adorable elle a rencontré !		11	quel	adorable	PRE	wh-exclamative	Lucas	M
109			quel grandiose évènement Françoise a organisé !		13	quel	grandiose	PRE	wh-exclamative	Lucas	M
106			quel enthousiaste musicien a enregistré l’album !		14	quel	enthousiaste	PRE	wh-exclamative	Lucas	M
119			quel livre ancien Marie a trouvé !		9	quel	vieux	POST	wh-exclamative	Simon	M
116			quel professeur charmant ils ont décoré !		11	quel	charmant	POST	wh-exclamative	Simon	M
110			quel mauvais livre Jérôme a lu !		8	quel	manipulateur	PRE	wh-exclamative	Simon	M
107			quel époustouflant spectacle ils ont vu !		10	quel	époustouflant	PRE	wh-exclamative	Simon	M
113			quel appétissant repas il nous a préparé !		12	quel	appétissant	PRE	wh-exclamative	Simon	M
